epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9965,0.60494,1.52582,4.84237,0.00596,2.52886,0.66708,0.58443,0.64035,0.5731,0.66708,0.58443,0.64035,0.62885,0.56212,1.03159,7.32984,0.00791,0,0.000655556,0.000655556,0.000655556
2,72.6968,0.70846,0.84465,3.50717,0.00745,0.51714,0.94649,0.73708,0.85836,0.72527,0.94649,0.73708,0.85836,0.81079,0.7599,1.09532,5.84732,0.0131,0,0.00130586,0.00130586,0.00130586
3,94.9762,0.77371,0.85059,2.83225,0.00829,0.37466,0.89474,0.76389,0.84357,0.60534,0.89474,0.76389,0.84388,0.83063,1.14692,1.43903,2.79497,0.02152,0,0.00193966,0.00193966,0.00193966
4,118.881,0.95943,0.92534,2.29217,0.01055,0.39888,0.77399,0.72222,0.79982,0.66243,0.77399,0.72222,0.79982,0.75824,0.82117,0.91089,1.81573,0.01359,0,0.00192575,0.00192575,0.00192575
5,141.464,0.75601,0.60094,1.79343,0.00815,0.43571,0.92546,0.77778,0.87088,0.76615,0.92546,0.77778,0.87088,0.82621,0.61982,0.53037,1.25156,0.0106,0,0.001901,0.001901,0.001901
6,162.883,0.89759,0.71044,1.53795,0.00951,0.36169,1,0.78468,0.88567,0.76034,1,0.78468,0.88567,0.82942,0.64847,0.4359,0.99149,0.01226,0,0.00187625,0.00187625,0.00187625
7,184.836,0.82492,0.70922,1.24055,0.00854,0.26495,0.93277,0.86111,0.89733,0.77124,0.93277,0.86111,0.89733,0.88236,0.6519,0.55503,0.81108,0.01155,0,0.0018515,0.0018515,0.0018515
8,207.022,0.79063,0.65905,1.10261,0.00867,0.22677,0.91539,0.86111,0.89567,0.79972,0.91539,0.86111,0.89567,0.89012,0.58748,0.8513,0.51107,0.00992,0,0.00182675,0.00182675,0.00182675
9,229.001,0.70211,0.61698,0.9293,0.00739,0.2366,0.94073,0.88181,0.89694,0.7822,0.94073,0.88181,0.89694,0.8865,0.67118,0.91893,0.50954,0.01102,0,0.001802,0.001802,0.001802
10,251.038,0.79721,0.71057,0.88161,0.00825,0.26347,0.95055,0.80094,0.884,0.77044,0.95055,0.80094,0.884,0.86479,0.6055,0.59173,0.4648,0.01076,0,0.00177725,0.00177725,0.00177725
