epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3585,0.58203,1.58121,5.29567,0.0057,3.88098,0.00356,1,0.56173,0.5107,0.00356,1,0.56173,0.56153,0.43451,0.22686,7.70677,0.00581,0,0.00058,0.00058,0.00058
2,51.5419,0.68519,0.52078,4.65558,0.0069,0.95419,0.10029,1,0.7163,0.62191,0.09706,0.96774,0.7147,0.68856,0.52699,1.72151,7.40117,0.00828,0,0.0011654,0.0011654,0.0011654
3,62.7864,0.77645,0.83282,3.81424,0.00823,0.60769,1,0.35828,0.82686,0.70933,1,0.35828,0.82686,0.77155,0.55207,0.93269,7.1143,0.00854,0,0.00173595,0.00173595,0.00173595
4,74.5442,0.90303,0.81796,3.50956,0.00937,0.50726,0.67614,0.60632,0.77384,0.61653,0.67614,0.60632,0.77384,0.678,0.71288,0.37841,6.17669,0.01096,0,0.00192575,0.00192575,0.00192575
5,88.9098,0.91787,0.55839,3.06709,0.00896,0.40198,0.80945,0.87097,0.89204,0.72465,0.80945,0.87097,0.89204,0.8786,0.81745,0.20378,4.12197,0.01371,0,0.001901,0.001901,0.001901
6,103.131,0.81147,0.59377,2.79911,0.00825,0.5151,0.90442,0.91598,0.95768,0.79585,0.90442,0.91598,0.95768,0.9334,0.71038,0.20274,2.65633,0.01184,0,0.00187625,0.00187625,0.00187625
7,116.306,0.78167,0.55014,2.56995,0.00822,0.37601,0.86995,0.8633,0.93815,0.8342,0.86995,0.8633,0.93815,0.92293,0.57194,0.20123,2.30373,0.00892,0,0.0018515,0.0018515,0.0018515
8,129.522,0.96042,0.83016,2.25645,0.00946,0.44208,1,0.86847,0.96934,0.86608,1,0.86847,0.96934,0.95268,0.54072,0.24664,1.59465,0.00917,0,0.00182675,0.00182675,0.00182675
9,141.558,0.82053,0.39889,1.9727,0.0077,0.31271,0.89873,0.8591,0.93928,0.73267,0.89873,0.8591,0.93928,0.92169,0.8515,0.26227,1.62778,0.01517,0,0.001802,0.001802,0.001802
10,152.757,0.79417,0.38869,1.72275,0.00763,0.30036,0.90712,0.9454,0.97709,0.82102,0.90712,0.9454,0.97709,0.95342,0.7035,0.16346,1.20219,0.01122,0,0.00177725,0.00177725,0.00177725
11,164.317,0.74269,0.47898,1.64893,0.00729,0.35384,0.98501,0.93548,0.98585,0.87569,0.98501,0.93548,0.98585,0.9716,0.5286,0.14601,1.10163,0.00889,0,0.0017525,0.0017525,0.0017525
12,175.241,0.7067,0.44319,1.45295,0.00744,0.26305,0.95111,0.93548,0.97624,0.854,0.95111,0.93548,0.97624,0.96294,0.67722,0.18886,1.04984,0.0111,0,0.00172775,0.00172775,0.00172775
13,187.176,0.76579,0.6327,1.27996,0.00656,0.32029,0.8736,0.96774,0.97226,0.8341,0.8736,0.96774,0.97226,0.95827,0.64977,0.21426,0.99561,0.01133,0,0.001703,0.001703,0.001703
14,199.708,0.67908,0.41886,1.20185,0.00647,0.23472,0.87345,0.93548,0.9574,0.84845,0.87345,0.93548,0.9574,0.93329,0.56103,0.171,0.94508,0.00941,0,0.00167825,0.00167825,0.00167825
15,210.455,0.6763,0.43939,1.1324,0.00625,0.35219,0.95109,0.93548,0.98461,0.91669,0.95109,0.93548,0.98461,0.979,0.41484,0.17231,0.67425,0.00666,0,0.0016535,0.0016535,0.0016535
16,221.742,0.69059,0.47508,1.05996,0.00698,0.24845,0.9598,1,0.99312,0.81812,0.9598,1,0.99312,0.97512,0.7876,0.15383,0.51204,0.01391,0,0.00162875,0.00162875,0.00162875
