epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.88,0.56295,2.00031,4.83762,0.00637,2.77915,0.00391,0.82927,0.39007,0.35621,0.00391,0.82927,0.39007,0.37893,0.38387,2.83133,7.36467,0.00482,0,0.00058,0.00058,0.00058
2,53.8004,0.75827,0.98351,4.11621,0.00895,0.41663,0.00391,0.82927,0.74193,0.62302,0.00391,0.82927,0.74193,0.68598,0.74665,2.34882,7.2925,0.01211,0,0.0011654,0.0011654,0.0011654
3,64.7493,0.89665,0.85411,3.71,0.01077,0.3432,0.77048,0.32785,0.62827,0.4087,0.77048,0.32785,0.57772,0.26222,1.03636,7.51209,7.5849,0.01729,0,0.00173595,0.00173595,0.00173595
4,75.7221,0.88656,1.03317,3.17033,0.01067,0.28291,0.99481,0.65854,0.78996,0.60276,0.99481,0.65854,0.78996,0.78649,1.15743,2.05813,5.68874,0.02214,0,0.00192575,0.00192575,0.00192575
5,86.7696,0.91343,0.85971,2.85132,0.01042,0.22902,0.88188,0.72846,0.77402,0.67035,0.88188,0.72846,0.77402,0.73475,0.75505,1.30753,3.92631,0.01264,0,0.001901,0.001901,0.001901
6,97.4358,0.87394,0.95499,2.55122,0.00945,0.2215,0.92477,0.59986,0.76038,0.66306,0.92477,0.59986,0.76038,0.71778,0.71939,1.06932,2.74986,0.01213,0,0.00187625,0.00187625,0.00187625
7,108.459,1.01639,0.97024,2.31206,0.01169,0.22288,0.81849,0.65995,0.74651,0.60296,0.81849,0.65995,0.74651,0.6989,0.92575,0.99421,2.20278,0.01512,0,0.0018515,0.0018515,0.0018515
8,120.103,0.99909,1.05254,2.04868,0.0109,0.20955,0.85467,0.78049,0.80131,0.73757,0.85467,0.78049,0.80131,0.79541,0.62944,1.02786,1.61175,0.00828,0,0.00182675,0.00182675,0.00182675
9,130.993,1.00049,0.97202,1.85275,0.01131,0.14035,1,0.76825,0.81766,0.71965,1,0.76825,0.81766,0.80505,0.81125,1.21818,1.32115,0.01054,0,0.001802,0.001802,0.001802
10,142.109,0.93016,0.76062,1.6578,0.01037,0.14035,0.86904,0.80938,0.80972,0.66752,0.86904,0.80938,0.80972,0.79663,1.03091,1.34483,1.28199,0.01814,0,0.00177725,0.00177725,0.00177725
11,154.209,0.84084,0.76088,1.47714,0.00964,0.11774,0.96482,0.82927,0.82478,0.71192,0.96482,0.82927,0.82478,0.81738,0.75812,1.40685,1.08466,0.01189,0,0.0017525,0.0017525,0.0017525
12,164.725,0.79419,0.92451,1.35601,0.00885,0.14534,0.84375,0.78049,0.81022,0.72476,0.84375,0.78049,0.81022,0.80676,0.70131,1.50665,1.07533,0.01089,0,0.00172775,0.00172775,0.00172775
13,176.011,0.69465,0.7946,1.19414,0.00631,0.14178,1,0.77171,0.8221,0.76865,1,0.77171,0.8221,0.81593,0.56505,1.36836,0.85707,0.00757,0,0.001703,0.001703,0.001703
14,186.877,0.73328,0.79688,1.13665,0.00744,0.14459,0.82857,0.80488,0.80929,0.71893,0.82857,0.80488,0.80929,0.80381,0.79534,1.00935,1.00768,0.01123,0,0.00167825,0.00167825,0.00167825
15,197.691,0.70659,0.69614,1.04071,0.00727,0.10366,0.91735,0.81227,0.81755,0.70021,0.91735,0.81227,0.81755,0.80995,0.87327,0.92167,0.92854,0.01465,0,0.0016535,0.0016535,0.0016535
16,209.563,0.72819,0.7808,0.99146,0.00734,0.13945,0.89143,0.80115,0.8152,0.71572,0.89143,0.80115,0.8152,0.79997,0.86005,0.95643,0.70234,0.01334,0,0.00162875,0.00162875,0.00162875
17,220.415,0.69799,0.72293,0.93622,0.00706,0.14661,0.99553,0.82927,0.82546,0.75507,0.99553,0.82927,0.82577,0.82143,0.62472,0.94425,0.49297,0.00939,0,0.001604,0.001604,0.001604
18,231.591,0.74364,0.83448,0.91029,0.00708,0.13455,0.96754,0.82927,0.82478,0.77656,0.96754,0.82927,0.82506,0.82265,0.53564,1.02189,0.46795,0.0068,0,0.00157925,0.00157925,0.00157925
19,243.146,0.66297,0.75506,0.80405,0.00577,0.11129,0.99353,0.82927,0.82632,0.77172,0.99353,0.82927,0.82621,0.80685,0.56223,1.00669,0.42676,0.00787,0,0.0015545,0.0015545,0.0015545
20,254.943,0.68044,0.71067,0.76178,0.00684,0.1266,0.96518,0.80488,0.82182,0.75521,0.96518,0.80488,0.82417,0.80027,0.60144,0.94035,0.41234,0.00814,0,0.00152975,0.00152975,0.00152975
21,266.729,0.7084,0.86196,0.74756,0.00628,0.11434,0.9435,0.81476,0.82379,0.78874,0.9435,0.81476,0.83022,0.81788,0.52589,0.85275,0.36623,0.00699,0,0.001505,0.001505,0.001505
22,279.063,0.64864,0.74968,0.68308,0.00613,0.10687,0.99922,0.78049,0.82285,0.7653,0.99922,0.78049,0.82884,0.81437,0.57838,0.8126,0.35839,0.00773,0,0.00148025,0.00148025,0.00148025
23,290.69,0.7125,0.81441,0.66948,0.00655,0.11517,0.91163,0.82927,0.82005,0.78893,0.91163,0.82927,0.82916,0.81226,0.49175,0.92133,0.35656,0.00581,0,0.0014555,0.0014555,0.0014555
24,302.061,0.65157,0.74986,0.5818,0.0056,0.13079,0.99399,0.82927,0.82588,0.78285,0.99399,0.82927,0.84752,0.81883,0.59415,1.02415,0.3275,0.00658,0,0.00143075,0.00143075,0.00143075
25,313.439,0.63422,0.7567,0.59369,0.00577,0.13672,0.96088,0.82927,0.82431,0.78026,0.96088,0.82927,0.85058,0.81838,0.59145,1.1662,0.36947,0.00695,0,0.001406,0.001406,0.001406
26,324.987,0.64197,0.66725,0.60572,0.00602,0.11502,1,0.8239,0.82698,0.74661,1,0.8239,0.84026,0.8313,0.82212,1.32162,0.49522,0.01052,0,0.00138125,0.00138125,0.00138125
27,335.809,0.66687,0.77828,0.60108,0.00601,0.11771,1,0.82397,0.82723,0.79098,1,0.82397,0.86356,0.84621,0.59833,1.22232,0.39074,0.00588,0,0.0013565,0.0013565,0.0013565
28,347.938,0.64849,0.75285,0.58203,0.00512,0.12976,0.94176,0.82927,0.84067,0.78444,0.94176,0.82927,0.87547,0.82033,0.57678,1.13769,0.39444,0.00582,0,0.00133175,0.00133175,0.00133175
29,358.891,0.60589,0.72287,0.55123,0.0055,0.11238,0.97123,0.82365,0.84272,0.76549,0.97123,0.82365,0.87402,0.82404,0.66996,1.07508,0.4807,0.00726,0,0.001307,0.001307,0.001307
30,369.658,0.63913,0.86272,0.56407,0.00475,0.09775,0.97947,0.80488,0.84353,0.81232,0.97947,0.80488,0.87564,0.85138,0.5468,1.01732,0.38755,0.00537,0,0.00128225,0.00128225,0.00128225
31,380.765,0.6419,0.80376,0.55834,0.0051,0.12439,0.99711,0.82927,0.8275,0.77511,0.99711,0.82927,0.87131,0.84011,0.59296,0.94284,0.28911,0.0069,0,0.0012575,0.0012575,0.0012575
32,391.798,0.63814,0.71754,0.51726,0.00517,0.10907,0.99666,0.82927,0.8292,0.7888,0.99666,0.82927,0.87191,0.84585,0.58822,1.04421,0.27445,0.00637,0,0.00123275,0.00123275,0.00123275
33,402.911,0.58612,0.71026,0.47936,0.00488,0.11743,0.91327,0.82927,0.82441,0.76255,0.91327,0.82927,0.85248,0.84018,0.62937,1.10685,0.35808,0.00753,0,0.001208,0.001208,0.001208
34,414.213,0.60458,0.86924,0.50303,0.00487,0.10279,0.9798,0.80488,0.84749,0.77683,0.9798,0.80488,0.85898,0.85408,0.66949,1.0568,0.43146,0.00857,0,0.00118325,0.00118325,0.00118325
